city,state,region,date,year,month,day,temp
Minneapolis,MN,Upper Midwest,4/3/2000,2000,4,3,45
Minneapolis,MN,Upper Midwest,4/4/2000,2000,4,4,51
Minneapolis,MN,Upper Midwest,4/5/2000,2000,4,5,69
Minneapolis,MN,Upper Midwest,4/6/2000,2000,4,6,51
Minneapolis,MN,Upper Midwest,4/7/2000,2000,4,7,39
Minneapolis,MN,Upper Midwest,4/8/2000,2000,4,8,53
Minneapolis,MN,Upper Midwest,4/9/2000,2000,4,9,52
Minneapolis,MN,Upper Midwest,4/10/2000,2000,4,10,45
Minneapolis,MN,Upper Midwest,4/11/2000,2000,4,11,45
Minneapolis,MN,Upper Midwest,4/12/2000,2000,4,12,44
Minneapolis,MN,Upper Midwest,4/13/2000,2000,4,13,63
Minneapolis,MN,Upper Midwest,4/14/2000,2000,4,14,62
Minneapolis,MN,Upper Midwest,4/15/2000,2000,4,15,37
Minneapolis,MN,Upper Midwest,4/16/2000,2000,4,16,36
Minneapolis,MN,Upper Midwest,4/17/2000,2000,4,17,44
Minneapolis,MN,Upper Midwest,4/18/2000,2000,4,18,53
Minneapolis,MN,Upper Midwest,4/19/2000,2000,4,19,51
Minneapolis,MN,Upper Midwest,4/20/2000,2000,4,20,42
Minneapolis,MN,Upper Midwest,4/21/2000,2000,4,21,61
Minneapolis,MN,Upper Midwest,4/22/2000,2000,4,22,78
Minneapolis,MN,Upper Midwest,4/23/2000,2000,4,23,69
Minneapolis,MN,Upper Midwest,4/24/2000,2000,4,24,70
Minneapolis,MN,Upper Midwest,4/25/2000,2000,4,25,71
Minneapolis,MN,Upper Midwest,4/26/2000,2000,4,26,74
Minneapolis,MN,Upper Midwest,4/27/2000,2000,4,27,72
Minneapolis,MN,Upper Midwest,4/28/2000,2000,4,28,64
Minneapolis,MN,Upper Midwest,4/29/2000,2000,4,29,63
Minneapolis,MN,Upper Midwest,4/30/2000,2000,4,30,73
Minneapolis,MN,Upper Midwest,5/1/2000,2000,5,1,72
Minneapolis,MN,Upper Midwest,5/2/2000,2000,5,2,76
Minneapolis,MN,Upper Midwest,5/3/2000,2000,5,3,83
Minneapolis,MN,Upper Midwest,5/4/2000,2000,5,4,89
Minneapolis,MN,Upper Midwest,5/5/2000,2000,5,5,89
Minneapolis,MN,Upper Midwest,5/6/2000,2000,5,6,87
Minneapolis,MN,Upper Midwest,5/7/2000,2000,5,7,83
Minneapolis,MN,Upper Midwest,5/8/2000,2000,5,8,74
Minneapolis,MN,Upper Midwest,5/9/2000,2000,5,9,65
Minneapolis,MN,Upper Midwest,5/10/2000,2000,5,10,62
Minneapolis,MN,Upper Midwest,5/11/2000,2000,5,11,61
Minneapolis,MN,Upper Midwest,5/12/2000,2000,5,12,67
Minneapolis,MN,Upper Midwest,5/13/2000,2000,5,13,48
Minneapolis,MN,Upper Midwest,5/14/2000,2000,5,14,63
Minneapolis,MN,Upper Midwest,5/15/2000,2000,5,15,70
Minneapolis,MN,Upper Midwest,5/16/2000,2000,5,16,64
Minneapolis,MN,Upper Midwest,5/17/2000,2000,5,17,66
Minneapolis,MN,Upper Midwest,5/18/2000,2000,5,18,59
Minneapolis,MN,Upper Midwest,5/19/2000,2000,5,19,61
Minneapolis,MN,Upper Midwest,5/20/2000,2000,5,20,70
Minneapolis,MN,Upper Midwest,5/21/2000,2000,5,21,74
Minneapolis,MN,Upper Midwest,5/22/2000,2000,5,22,75
Minneapolis,MN,Upper Midwest,5/23/2000,2000,5,23,78
Minneapolis,MN,Upper Midwest,5/24/2000,2000,5,24,71
Minneapolis,MN,Upper Midwest,5/25/2000,2000,5,25,73
Minneapolis,MN,Upper Midwest,5/26/2000,2000,5,26,71
Minneapolis,MN,Upper Midwest,5/27/2000,2000,5,27,60
Minneapolis,MN,Upper Midwest,5/28/2000,2000,5,28,60
Minneapolis,MN,Upper Midwest,5/29/2000,2000,5,29,65
Minneapolis,MN,Upper Midwest,5/30/2000,2000,5,30,69
Minneapolis,MN,Upper Midwest,5/31/2000,2000,5,31,75
Minneapolis,MN,Upper Midwest,6/1/2000,2000,6,1,69
Minneapolis,MN,Upper Midwest,6/2/2000,2000,6,2,65
Minneapolis,MN,Upper Midwest,6/3/2000,2000,6,3,67
Minneapolis,MN,Upper Midwest,6/4/2000,2000,6,4,58
Minneapolis,MN,Upper Midwest,6/5/2000,2000,6,5,67
Minneapolis,MN,Upper Midwest,6/6/2000,2000,6,6,72
Minneapolis,MN,Upper Midwest,6/7/2000,2000,6,7,83
Minneapolis,MN,Upper Midwest,6/8/2000,2000,6,8,94
Minneapolis,MN,Upper Midwest,6/9/2000,2000,6,9,92
Minneapolis,MN,Upper Midwest,6/10/2000,2000,6,10,90
Minneapolis,MN,Upper Midwest,6/11/2000,2000,6,11,78
Minneapolis,MN,Upper Midwest,6/12/2000,2000,6,12,75
Minneapolis,MN,Upper Midwest,6/13/2000,2000,6,13,77
Minneapolis,MN,Upper Midwest,6/14/2000,2000,6,14,71
Minneapolis,MN,Upper Midwest,6/15/2000,2000,6,15,69
Minneapolis,MN,Upper Midwest,6/16/2000,2000,6,16,61
Minneapolis,MN,Upper Midwest,6/17/2000,2000,6,17,67
Minneapolis,MN,Upper Midwest,6/18/2000,2000,6,18,71
Minneapolis,MN,Upper Midwest,6/19/2000,2000,6,19,81
Minneapolis,MN,Upper Midwest,6/20/2000,2000,6,20,79
Minneapolis,MN,Upper Midwest,6/21/2000,2000,6,21,73
Minneapolis,MN,Upper Midwest,6/22/2000,2000,6,22,80
Minneapolis,MN,Upper Midwest,6/23/2000,2000,6,23,85
Minneapolis,MN,Upper Midwest,6/24/2000,2000,6,24,81
Minneapolis,MN,Upper Midwest,6/25/2000,2000,6,25,76
Minneapolis,MN,Upper Midwest,6/26/2000,2000,6,26,76
Minneapolis,MN,Upper Midwest,6/27/2000,2000,6,27,74
Minneapolis,MN,Upper Midwest,6/28/2000,2000,6,28,76
Minneapolis,MN,Upper Midwest,6/29/2000,2000,6,29,79
Minneapolis,MN,Upper Midwest,6/30/2000,2000,6,30,84
Minneapolis,MN,Upper Midwest,7/1/2000,2000,7,1,90
Minneapolis,MN,Upper Midwest,7/2/2000,2000,7,2,80
Minneapolis,MN,Upper Midwest,7/3/2000,2000,7,3,74
Minneapolis,MN,Upper Midwest,7/4/2000,2000,7,4,80
Minneapolis,MN,Upper Midwest,7/5/2000,2000,7,5,82
Minneapolis,MN,Upper Midwest,7/6/2000,2000,7,6,81
Minneapolis,MN,Upper Midwest,7/7/2000,2000,7,7,78
Minneapolis,MN,Upper Midwest,7/8/2000,2000,7,8,93
Minneapolis,MN,Upper Midwest,7/9/2000,2000,7,9,86
Minneapolis,MN,Upper Midwest,7/10/2000,2000,7,10,86
Minneapolis,MN,Upper Midwest,7/11/2000,2000,7,11,83
Minneapolis,MN,Upper Midwest,7/12/2000,2000,7,12,83
Minneapolis,MN,Upper Midwest,7/13/2000,2000,7,13,88
Minneapolis,MN,Upper Midwest,7/14/2000,2000,7,14,86
Minneapolis,MN,Upper Midwest,7/15/2000,2000,7,15,83
Minneapolis,MN,Upper Midwest,7/16/2000,2000,7,16,86
Minneapolis,MN,Upper Midwest,7/17/2000,2000,7,17,74
Minneapolis,MN,Upper Midwest,7/18/2000,2000,7,18,60
Minneapolis,MN,Upper Midwest,7/19/2000,2000,7,19,69
Minneapolis,MN,Upper Midwest,7/20/2000,2000,7,20,73
Minneapolis,MN,Upper Midwest,7/21/2000,2000,7,21,76
Minneapolis,MN,Upper Midwest,7/22/2000,2000,7,22,77
Minneapolis,MN,Upper Midwest,7/23/2000,2000,7,23,81
Minneapolis,MN,Upper Midwest,7/24/2000,2000,7,24,82
Minneapolis,MN,Upper Midwest,7/25/2000,2000,7,25,83
Minneapolis,MN,Upper Midwest,7/26/2000,2000,7,26,78
Minneapolis,MN,Upper Midwest,7/27/2000,2000,7,27,83
Minneapolis,MN,Upper Midwest,7/28/2000,2000,7,28,77
Minneapolis,MN,Upper Midwest,7/29/2000,2000,7,29,82
Minneapolis,MN,Upper Midwest,7/30/2000,2000,7,30,86
Minneapolis,MN,Upper Midwest,7/31/2000,2000,7,31,88
Minneapolis,MN,Upper Midwest,8/1/2000,2000,8,1,86
Minneapolis,MN,Upper Midwest,8/2/2000,2000,8,2,82
Minneapolis,MN,Upper Midwest,8/3/2000,2000,8,3,77
Minneapolis,MN,Upper Midwest,8/4/2000,2000,8,4,83
Minneapolis,MN,Upper Midwest,8/5/2000,2000,8,5,74
Minneapolis,MN,Upper Midwest,8/6/2000,2000,8,6,83
Minneapolis,MN,Upper Midwest,8/7/2000,2000,8,7,88
Minneapolis,MN,Upper Midwest,8/8/2000,2000,8,8,80
Minneapolis,MN,Upper Midwest,8/9/2000,2000,8,9,84
Minneapolis,MN,Upper Midwest,8/10/2000,2000,8,10,87
Minneapolis,MN,Upper Midwest,8/11/2000,2000,8,11,86
Minneapolis,MN,Upper Midwest,8/12/2000,2000,8,12,86
Minneapolis,MN,Upper Midwest,8/13/2000,2000,8,13,86
Minneapolis,MN,Upper Midwest,8/14/2000,2000,8,14,91
Minneapolis,MN,Upper Midwest,8/15/2000,2000,8,15,80
Minneapolis,MN,Upper Midwest,8/16/2000,2000,8,16,76
Minneapolis,MN,Upper Midwest,8/17/2000,2000,8,17,74
Minneapolis,MN,Upper Midwest,8/18/2000,2000,8,18,76
Minneapolis,MN,Upper Midwest,8/19/2000,2000,8,19,75
Minneapolis,MN,Upper Midwest,8/20/2000,2000,8,20,76
Minneapolis,MN,Upper Midwest,8/21/2000,2000,8,21,71
Minneapolis,MN,Upper Midwest,8/22/2000,2000,8,22,77
