city,state,region,date,year,month,day,temp
Grand Lake,CO,Southwest,4/12/2000,2000,4,12,57
Grand Lake,CO,Southwest,4/13/2000,2000,4,13,60
Grand Lake,CO,Southwest,4/14/2000,2000,4,14,59
Grand Lake,CO,Southwest,4/15/2000,2000,4,15,57
Grand Lake,CO,Southwest,4/16/2000,2000,4,16,51
Grand Lake,CO,Southwest,4/17/2000,2000,4,17,62
Grand Lake,CO,Southwest,4/18/2000,2000,4,18,62
Grand Lake,CO,Southwest,4/19/2000,2000,4,19,47
Grand Lake,CO,Southwest,4/20/2000,2000,4,20,53
Grand Lake,CO,Southwest,4/21/2000,2000,4,21,60
Grand Lake,CO,Southwest,4/22/2000,2000,4,22,57
Grand Lake,CO,Southwest,4/23/2000,2000,4,23,48
Grand Lake,CO,Southwest,4/24/2000,2000,4,24,48
Grand Lake,CO,Southwest,4/25/2000,2000,4,25,54
Grand Lake,CO,Southwest,4/26/2000,2000,4,26,60
Grand Lake,CO,Southwest,4/27/2000,2000,4,27,66
Grand Lake,CO,Southwest,4/28/2000,2000,4,28,68
Grand Lake,CO,Southwest,4/29/2000,2000,4,29,66
Grand Lake,CO,Southwest,4/30/2000,2000,4,30,55
Grand Lake,CO,Southwest,5/1/2000,2000,5,1,62
Grand Lake,CO,Southwest,5/2/2000,2000,5,2,70
Grand Lake,CO,Southwest,5/3/2000,2000,5,3,72
Grand Lake,CO,Southwest,5/4/2000,2000,5,4,74
Grand Lake,CO,Southwest,5/5/2000,2000,5,5,75
Grand Lake,CO,Southwest,5/6/2000,2000,5,6,75
Grand Lake,CO,Southwest,5/7/2000,2000,5,7,68
Grand Lake,CO,Southwest,5/8/2000,2000,5,8,55
Grand Lake,CO,Southwest,5/9/2000,2000,5,9,54
Grand Lake,CO,Southwest,5/10/2000,2000,5,10,69
Grand Lake,CO,Southwest,5/11/2000,2000,5,11,68
Grand Lake,CO,Southwest,5/12/2000,2000,5,12,63
Grand Lake,CO,Southwest,5/13/2000,2000,5,13,52
Grand Lake,CO,Southwest,5/14/2000,2000,5,14,63
Grand Lake,CO,Southwest,5/15/2000,2000,5,15,64
Grand Lake,CO,Southwest,5/16/2000,2000,5,16,73
Grand Lake,CO,Southwest,5/17/2000,2000,5,17,71
Grand Lake,CO,Southwest,5/18/2000,2000,5,18,45
Grand Lake,CO,Southwest,5/19/2000,2000,5,19,57
Grand Lake,CO,Southwest,5/20/2000,2000,5,20,57
Grand Lake,CO,Southwest,5/21/2000,2000,5,21,64
Grand Lake,CO,Southwest,5/22/2000,2000,5,22,69
Grand Lake,CO,Southwest,5/23/2000,2000,5,23,73
Grand Lake,CO,Southwest,5/24/2000,2000,5,24,73
Grand Lake,CO,Southwest,5/25/2000,2000,5,25,65
Grand Lake,CO,Southwest,5/26/2000,2000,5,26,63
Grand Lake,CO,Southwest,5/27/2000,2000,5,27,64
Grand Lake,CO,Southwest,5/28/2000,2000,5,28,79
Grand Lake,CO,Southwest,5/29/2000,2000,5,29,79
Grand Lake,CO,Southwest,5/30/2000,2000,5,30,80
Grand Lake,CO,Southwest,5/31/2000,2000,5,31,79
Grand Lake,CO,Southwest,6/1/2000,2000,6,1,77
Grand Lake,CO,Southwest,6/2/2000,2000,6,2,73
Grand Lake,CO,Southwest,6/3/2000,2000,6,3,75
Grand Lake,CO,Southwest,6/4/2000,2000,6,4,75
Grand Lake,CO,Southwest,6/5/2000,2000,6,5,72
Grand Lake,CO,Southwest,6/6/2000,2000,6,6,80
Grand Lake,CO,Southwest,6/7/2000,2000,6,7,82
Grand Lake,CO,Southwest,6/8/2000,2000,6,8,82
Grand Lake,CO,Southwest,6/9/2000,2000,6,9,75
Grand Lake,CO,Southwest,6/10/2000,2000,6,10,72
Grand Lake,CO,Southwest,6/11/2000,2000,6,11,74
Grand Lake,CO,Southwest,6/12/2000,2000,6,12,79
Grand Lake,CO,Southwest,6/13/2000,2000,6,13,72
Grand Lake,CO,Southwest,6/14/2000,2000,6,14,69
Grand Lake,CO,Southwest,6/15/2000,2000,6,15,74
Grand Lake,CO,Southwest,6/16/2000,2000,6,16,72
Grand Lake,CO,Southwest,6/17/2000,2000,6,17,68
Grand Lake,CO,Southwest,6/18/2000,2000,6,18,71
Grand Lake,CO,Southwest,6/19/2000,2000,6,19,64
Grand Lake,CO,Southwest,6/20/2000,2000,6,20,62
Grand Lake,CO,Southwest,6/21/2000,2000,6,21,71
Grand Lake,CO,Southwest,6/22/2000,2000,6,22,76
Grand Lake,CO,Southwest,6/23/2000,2000,6,23,77
Grand Lake,CO,Southwest,6/24/2000,2000,6,24,73
,,,,,,,
,,,,,,,
Grand Lake,CO,Southwest,6/27/2000,2000,6,27,60
Grand Lake,CO,Southwest,6/28/2000,2000,6,28,73
Grand Lake,CO,Southwest,6/29/2000,2000,6,29,75
Grand Lake,CO,Southwest,6/30/2000,2000,6,30,79
Grand Lake,CO,Southwest,7/1/2000,2000,7,1,78
Grand Lake,CO,Southwest,7/2/2000,2000,7,2,80
Grand Lake,CO,Southwest,7/3/2000,2000,7,3,79
Grand Lake,CO,Southwest,7/4/2000,2000,7,4,77
Grand Lake,CO,Southwest,7/5/2000,2000,7,5,82
Grand Lake,CO,Southwest,7/6/2000,2000,7,6,84
Grand Lake,CO,Southwest,7/7/2000,2000,7,7,84
Grand Lake,CO,Southwest,7/8/2000,2000,7,8,79
Grand Lake,CO,Southwest,7/9/2000,2000,7,9,72
Grand Lake,CO,Southwest,7/10/2000,2000,7,10,77
Grand Lake,CO,Southwest,7/11/2000,2000,7,11,79
Grand Lake,CO,Southwest,7/12/2000,2000,7,12,81
Grand Lake,CO,Southwest,7/13/2000,2000,7,13,78
Grand Lake,CO,Southwest,7/14/2000,2000,7,14,84
Grand Lake,CO,Southwest,7/15/2000,2000,7,15,78
Grand Lake,CO,Southwest,7/16/2000,2000,7,16,78
Grand Lake,CO,Southwest,7/17/2000,2000,7,17,78
Grand Lake,CO,Southwest,7/18/2000,2000,7,18,77
Grand Lake,CO,Southwest,7/19/2000,2000,7,19,78
Grand Lake,CO,Southwest,7/20/2000,2000,7,20,78
Grand Lake,CO,Southwest,7/21/2000,2000,7,21,79
Grand Lake,CO,Southwest,7/22/2000,2000,7,22,81
Grand Lake,CO,Southwest,7/23/2000,2000,7,23,83
Grand Lake,CO,Southwest,7/24/2000,2000,7,24,82
Grand Lake,CO,Southwest,7/25/2000,2000,7,25,84
Grand Lake,CO,Southwest,7/26/2000,2000,7,26,84
Grand Lake,CO,Southwest,7/27/2000,2000,7,27,76
Grand Lake,CO,Southwest,7/28/2000,2000,7,28,84
Grand Lake,CO,Southwest,7/29/2000,2000,7,29,83
Grand Lake,CO,Southwest,7/30/2000,2000,7,30,81
Grand Lake,CO,Southwest,7/31/2000,2000,7,31,83
Grand Lake,CO,Southwest,8/1/2000,2000,8,1,87
Grand Lake,CO,Southwest,8/2/2000,2000,8,2,83
Grand Lake,CO,Southwest,8/3/2000,2000,8,3,77
Grand Lake,CO,Southwest,8/4/2000,2000,8,4,78
Grand Lake,CO,Southwest,8/5/2000,2000,8,5,74
Grand Lake,CO,Southwest,8/6/2000,2000,8,6,86
Grand Lake,CO,Southwest,8/7/2000,2000,8,7,80
Grand Lake,CO,Southwest,8/8/2000,2000,8,8,86
Grand Lake,CO,Southwest,8/9/2000,2000,8,9,89
Grand Lake,CO,Southwest,8/10/2000,2000,8,10,85
Grand Lake,CO,Southwest,8/11/2000,2000,8,11,80
Grand Lake,CO,Southwest,8/12/2000,2000,8,12,82
Grand Lake,CO,Southwest,8/13/2000,2000,8,13,79
Grand Lake,CO,Southwest,8/14/2000,2000,8,14,80
Grand Lake,CO,Southwest,8/15/2000,2000,8,15,80
Grand Lake,CO,Southwest,8/16/2000,2000,8,16,73
Grand Lake,CO,Southwest,8/17/2000,2000,8,17,70
Grand Lake,CO,Southwest,8/18/2000,2000,8,18,70
Grand Lake,CO,Southwest,8/19/2000,2000,8,19,71
Grand Lake,CO,Southwest,8/20/2000,2000,8,20,70
Grand Lake,CO,Southwest,8/21/2000,2000,8,21,77
Grand Lake,CO,Southwest,8/22/2000,2000,8,22,76
Grand Lake,CO,Southwest,8/23/2000,2000,8,23,73
Grand Lake,CO,Southwest,8/24/2000,2000,8,24,76
Grand Lake,CO,Southwest,8/25/2000,2000,8,25,77
Grand Lake,CO,Southwest,8/26/2000,2000,8,26,69
Grand Lake,CO,Southwest,8/27/2000,2000,8,27,71
Grand Lake,CO,Southwest,8/28/2000,2000,8,28,71
Grand Lake,CO,Southwest,8/29/2000,2000,8,29,75
Grand Lake,CO,Southwest,8/30/2000,2000,8,30,70
Grand Lake,CO,Southwest,8/31/2000,2000,8,31,68
Grand Lake,CO,Southwest,9/1/2000,2000,9,1,70
Grand Lake,CO,Southwest,9/2/2000,2000,9,2,70
Grand Lake,CO,Southwest,9/3/2000,2000,9,3,71
Grand Lake,CO,Southwest,9/4/2000,2000,9,4,80
Grand Lake,CO,Southwest,9/5/2000,2000,9,5,78
Grand Lake,CO,Southwest,9/6/2000,2000,9,6,73
Grand Lake,CO,Southwest,9/7/2000,2000,9,7,71
Grand Lake,CO,Southwest,9/8/2000,2000,9,8,71
Grand Lake,CO,Southwest,9/9/2000,2000,9,9,69
Grand Lake,CO,Southwest,9/10/2000,2000,9,10,75
Grand Lake,CO,Southwest,9/11/2000,2000,9,11,75
Grand Lake,CO,Southwest,9/12/2000,2000,9,12,77
Grand Lake,CO,Southwest,9/13/2000,2000,9,13,80
Grand Lake,CO,Southwest,9/14/2000,2000,9,14,82
Grand Lake,CO,Southwest,9/15/2000,2000,9,15,82
Grand Lake,CO,Southwest,9/16/2000,2000,9,16,83
Grand Lake,CO,Southwest,9/17/2000,2000,9,17,82
,,,,,,,
Grand Lake,CO,Southwest,9/19/2000,2000,9,19,68
Grand Lake,CO,Southwest,9/20/2000,2000,9,20,68
Grand Lake,CO,Southwest,9/21/2000,2000,9,21,60
Grand Lake,CO,Southwest,9/22/2000,2000,9,22,61
Grand Lake,CO,Southwest,9/23/2000,2000,9,23,62
Grand Lake,CO,Southwest,9/24/2000,2000,9,24,58
Grand Lake,CO,Southwest,9/25/2000,2000,9,25,55
Grand Lake,CO,Southwest,9/26/2000,2000,9,26,65
Grand Lake,CO,Southwest,9/27/2000,2000,9,27,69
Grand Lake,CO,Southwest,9/28/2000,2000,9,28,69
Grand Lake,CO,Southwest,9/29/2000,2000,9,29,66
Grand Lake,CO,Southwest,9/30/2000,2000,9,30,66
Grand Lake,CO,Southwest,10/1/2000,2000,10,1,68
Grand Lake,CO,Southwest,10/2/2000,2000,10,2,70
Grand Lake,CO,Southwest,10/3/2000,2000,10,3,69
Grand Lake,CO,Southwest,10/4/2000,2000,10,4,61
Grand Lake,CO,Southwest,10/5/2000,2000,10,5,57
Grand Lake,CO,Southwest,10/6/2000,2000,10,6,59
Grand Lake,CO,Southwest,10/7/2000,2000,10,7,61
Grand Lake,CO,Southwest,10/8/2000,2000,10,8,63
Grand Lake,CO,Southwest,10/9/2000,2000,10,9,65
Grand Lake,CO,Southwest,10/10/2000,2000,10,10,64
Grand Lake,CO,Southwest,10/11/2000,2000,10,11,69
Grand Lake,CO,Southwest,10/12/2000,2000,10,12,68
Grand Lake,CO,Southwest,10/13/2000,2000,10,13,54
Grand Lake,CO,Southwest,10/14/2000,2000,10,14,45
Grand Lake,CO,Southwest,10/15/2000,2000,10,15,59
,,,,,,,
Grand Lake,CO,Southwest,10/17/2000,2000,10,17,64
,,,,,,,
Grand Lake,CO,Southwest,10/19/2000,2000,10,19,68
Grand Lake,CO,Southwest,10/20/2000,2000,10,20,65
Grand Lake,CO,Southwest,10/21/2000,2000,10,21,63
Grand Lake,CO,Southwest,10/22/2000,2000,10,22,56
Grand Lake,CO,Southwest,10/23/2000,2000,10,23,65
Grand Lake,CO,Southwest,10/24/2000,2000,10,24,65
Grand Lake,CO,Southwest,10/25/2000,2000,10,25,54
Grand Lake,CO,Southwest,10/26/2000,2000,10,26,59
Grand Lake,CO,Southwest,10/27/2000,2000,10,27,60
Grand Lake,CO,Southwest,10/28/2000,2000,10,28,56
